Store Code,DC Code,DC Name,Nama Toko,Kelurahan,Kecamatan,Kab/Kota,Latitude,Longitude,Tipe
TVYC,G025,DC MALANG,PELABUHAN TANJUNG MAS MALANG,,,KOTA MALANG,-7.997806,112.600194,INDOMARET
TVYF,G029,DC PALEMBANG,GELUMBANG 140,,,KOTA PALEMBANG,-3.235842,104.440256,INDOMARET
TVYG,G241,DC BULUNGAN ADMINISTRATIF,TEPIAN BUAH,,,KOTA TARAKAN,2.188178,117.117881,INDOMARET
TVYI,,,INRES KALIBAGRE,,,KOTA JAYAPURA,-1.876764,138.753786,INDOMARET
TVYK,G157,DC LEBAK,ASRAMA POLISI LEBAK,,RANGKASBITUNG,KAB. LEBAK,-6.356547,106.246675,INDOMARET
TVYL,G149,DC KENDARI ADMINISTRATIF,PADABAHO NO. 2 - MOROWALI,,,KOTA KENDARI,-2.896492,122.197250,INDOMARET
TVYV,G001,DC JAKARTA,TEBET TIMUR RAYA NO 58,,,KOTA JAKARTA PUSAT,-6.241908,106.853975,INDOMARET
TVZ4,G137,DC JAKARTA 2,POINT GRAND CAKUNG,,,KOTA JAKARTA TIMUR,-6.187528,106.960750,INDOMARET
TVZ7,G301,DC SIDOARJO,GRIYO MAPAN SENTOSA,,,KABUPATEN SIDOARJO,-7.364652,112.769922,INDOMARET
TVZA,G049,DC PEKANBARU,PANGKALAN KERINCI 3,,,KOTA PEKANBARU,0.410564,101.857911,INDOMARET
TVZC,G244,DC MANADO,DUTULANAA,,,KOTA GORONTALO,0.634608,122.991944,INDOMARET
TVZE,G117,DC BOGOR 2,PUSPANEGARA,,,KABUPATEN BOGOR,-6.484078,106.879028,INDOMARET
TVZG,G244,DC MANADO,SUPRAPTO,,,KOTA MANADO,1.308800,124.915881,INDOMARET
TVZL,G034,DC BALI,SUNSET ROAD 37,,,KOTA DENPASAR,-8.708278,115.184222,INDOMARET
TVZN,G009,DC MEDAN,PERJUANGAN NAMORAMBE,,,KOTA MEDAN,3.466978,98.654117,INDOMARET
TVZP,G026,DC TANGERANG,RAYA M TOHA KM 21,,,KOTA TANGERANG,-6.170611,106.602583,INDOMARET
TVZQ,G301,DC SIDOARJO,SPBU RAYA GILANG KM 20,,,KABUPATEN SIDOARJO,-7.366428,112.660924,INDOMARET
TVZZ,G156,DC KLATEN,SIDOREJO,,,KOTA SEMARANG,-7.296213,110.479613,INDOMARET
TW03,G026,DC TANGERANG,RAYA KUTRUK RANCA BUAYA,,JAMBE,KAB. TANGERANG,-6.302306,106.497528,INDOMARET
TW04,G049,DC PEKANBARU,SUMBER JAYA 187,,,KOTA PADANG,-0.212075,101.428733,INDOMARET
TW06,G107,DC PARUNG,H. NAWI RAYA 2,,,KOTA JAKARTA SELATAN,-6.264111,106.794306,INDOMARET
TW08,G148,DC JOMBANG,TAWANGSARI BLITAR,,,KABUPATEN BLITAR,-8.065456,112.221197,INDOMARET
TW0E,G117,DC BOGOR 2,SUSUKAN BOJONG GEDE,,,KABUPATEN BOGOR,-6.472111,106.792194,INDOMARET
TW0P,G026,DC TANGERANG,KP BUARAN PLN,,,KOTA TANGERANG,-6.208333,106.641694,INDOMARET
TW0S,G174,DC TERNATE,BULI GELTOLI 27,,,KOTA AMBON,0.889811,128.297739,INDOMARET
TW0V,G245,DC PONTIANAK,PAHLAWAN,,,KOTA PONTIANAK,-0.905306,109.003778,INDOMARET
TW0W,G034,DC BALI,BATANNYUH,,,KOTA DENPASAR,-8.498946,115.169567,INDOMARET
TW0X,G026,DC TANGERANG,RAYA SERANG KM 34,,,KOTA SERANG,-6.213583,106.394500,INDOMARET
TW0Z,G305,DC GRESIK,LIDAH WETAN,,,KOTA SURABAYA,-7.308361,112.670611,INDOMARET
TW12,G028,DC CIREBON,KONDANGSARI,,,KABUPATEN BOGOR,-6.805442,108.523064,INDOMARET
TW13,G156,DC KLATEN,JL. JOGJA - SOLO KM 10.5,,,KABUPATEN SLEMAN,-7.783255,110.445883,INDOMARET
TW15,G113,DC BOGOR,GADOG CIAWI,,MEGAMENDUNG,KAB. BOGOR,-6.654472,106.862833,INDOMARET
TW17,G113,DC BOGOR,PARUNG KUDA,,,KABUPATEN BOGOR,-6.864918,106.768324,INDOMARET
TW18,G158,DC AMBON ADMINISTRATIF,ETY SERAM BARAT,,,LAINNYA,-3.092561,128.216928,INDOMARET
TW19,G137,DC JAKARTA 2,KEBON BARU  CILINCING,,,KOTA JAKARTA UTARA,-6.115472,106.922985,INDOMARET
TW1A,G107,DC PARUNG,GRIYA INDAH SERPONG,,GUNUNG SINDUR,KAB. BOGOR,-6.383803,106.684742,INDOMARET
TW1F,,,SEKNEG RAYA NO 6,,,KOTA TANGERANG,-6.216750,106.632392,INDOMARET
TW1H,G105,DC BEKASI,RAWA BUGEL,,,KOTA BEKASI,-6.219669,106.994792,INDOMARET
TW1N,G029,DC PALEMBANG,PADAT KARYA 34,,,KOTA PALEMBANG,-2.940264,104.802286,INDOMARET
TW1Q,G092,DC BANJARMASIN,PEMURUS DALAM,,,KOTA BANJARMASIN,-3.357786,114.624217,INDOMARET
TW1S,,,ARYA SALINGSINGAN NO. 50,,,KABUPATEN BOGOR,-6.712628,108.452978,INDOMARET
TW1T,G020,DC YOGYAKARTA,INDOMARET DIENG,,BATUR,KAB. BANJARNEGARA,-7.202722,109.910200,INDOMARET
TW1X,G049,DC PEKANBARU,PINTU TOL PINGGIR,,,KOTA PEKANBARU,1.213150,101.239806,INDOMARET
TW22,G026,DC TANGERANG,BANGUN REKSA,,,KOTA TANGERANG,-6.215028,106.707750,INDOMARET
TW23,G157,DC LEBAK,BAYAH LEBAK,,,KABUPATEN LEBAK,-6.931872,106.250078,INDOMARET
TW29,G117,DC BOGOR 2,GUNUNG PUTRI SELATAN,,,KABUPATEN BOGOR,-6.462389,106.892722,INDOMARET
TW2A,G020,DC YOGYAKARTA,PARANGTRITIS KM. 26,,,KABUPATEN SLEMAN,-8.008058,110.318414,INDOMARET
TW2B,G105,DC BEKASI,HANKAM 3,,,KOTA JAKARTA TIMUR,-6.290156,106.916758,INDOMARET
TW2C,G113,DC BOGOR,TENJOLAYA,,TENJOLAYA,KAB. BOGOR,-6.660911,106.700589,INDOMARET
TW2D,G080,DC PURWAKARTA,CABANG BUNGIN 2,,,KABUPATEN BOGOR,-6.077061,107.144267,INDOMARET
TW2H,G257,DC STABAT,PROKLAMASI SENDANG REJO,,,KOTA MEDAN,3.653028,98.470639,INDOMARET
TW2K,G028,DC CIREBON,CIJULANG 3,,,KABUPATEN BOGOR,-7.726611,108.472778,INDOMARET
TW2L,G113,DC BOGOR,TELAGA CARINGIN,,,KABUPATEN BOGOR,-6.887483,106.866314,INDOMARET
TW2N,G261,DC JOMBANG 2,JAKARTA CURAH MALANG JOMBANG,,,KOTA MALANG,-7.509100,112.366056,INDOMARET
TW2O,G009,DC MEDAN,BAKARAN BATU SIMP BIDAN,,,KOTA MEDAN,3.568047,98.871392,INDOMARET
TW2P,G261,DC JOMBANG 2,MOJOPURNO MADIUN,,,KOTA SEMARANG,-7.652964,111.555536,INDOMARET
TW2R,G117,DC BOGOR 2,RAYA KINCIR AIR,,,KABUPATEN BOGOR,-6.475722,106.803444,INDOMARET
TW2T,G156,DC KLATEN,TASURO-SLEMAN,,,KABUPATEN SLEMAN,-7.759583,110.422583,INDOMARET
TW2W,G146,DC LOMBOK,PEJANGGIK 4 MATARAM,,,KOTA MATARAM,-8.587002,116.127009,INDOMARET
TW2Z,G092,DC BANJARMASIN,MELATI 14,,,KOTA BANJARMASIN,-2.782681,115.270997,INDOMARET
