"store_code","store_name","branch_code","branch_name","fc_code","flagroute","mds_name","latitude","longitude","tipe_toko","","","",""
"1Y29","MATUNGKAS MINUT [MTKM]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.478923086","124.9720558","AU 10P COKE","","1Y29,1YZ1,1Y14","",""
"1Y2C","PARIGI MANADO [PADO]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.453934212","124.8200621","AU 10P COKE","","1Y2C,1YZ1,1Y14","",""
"1Y2H","RAYA SUKUR [RAYS]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.437505393","124.9702414","AU 10P COKE","","1Y2H,1YZ1,1Y14","",""
"1Y2L","RANOMUUT MANADO [ROMA]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.480792778","124.869354","AU 10P COKE","","1Y2L,1YZ1,1Y14","",""
"1Y2T","MANEMBO NEMBO RAYA [MARU]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.434250812","125.120874","AU 12P COKE","","1Y2T,1YZ1,1Y14","",""
"1Y2U","RAYA MATUARI [RAYI]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.43521624","125.1136328","AU 10P COKE","","1Y2U,1YZ1,1Y14","",""
"1Y32","MATUNGKAS 2 [MTU2]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.4845640","124.9737310","AU 10P COKE","","1Y32,1YZ1,1Y14","",""
"1Y33","VETERAN BITUNG [VEBI]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.439062582","125.1350622","AU 10P COKE","","1Y33,1YZ1,1Y14","",""
"1Y37","KOLONGAN TETEMPANGAN [KOTE]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.4670125","124.9243594","AU 12P COKE","","1Y37,1YZ1,1Y14","",""
"1Y38","PINELENG [PLEG]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.427410987","124.8385976","AU 12P COKE","","1Y38,1YZ1,1Y14","",""
"1Y39","TIKALA ARES MDO[TARS]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.487102626","124.8506555","AU 10P COKE","","1Y39,1YZ1,1Y14","",""
"1Y3F","TRANS KAUDITAN [TRAK]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.3981387","125.0525219","AU 10P COKE","","1Y3F,1YZ1,1Y14","",""
"1Y3G","KAUDITAN SATU [KNST]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.3954620","125.0464145","AU 10P COKE","","1Y3G,1YZ1,1Y14","",""
"1Y3H","GIRIAN WERU [GIRW]","1YZ1","MANADO","1YZ1","1Y14","YOHANDI","1.4387074","125.1245631","AU 10P COKE","","1Y3H,1YZ1,1Y14","",""
